DeptID,DeptName,StationID,StationName,SPGroupID,SPGroupName,ParameterID,ParameterName
2,D928  Engine Line,5,928011L  Engine Deck Frame,66,TLID435  T4 9L Vac Fan Pulley,274,TLID435  Vac Fan Pulleys to Engine Deck
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,7236,TLID 8  T4 9L Engine Mounts,27918,Side Eng Mount 2 18mm Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,7236,TLID 8  T4 9L Engine Mounts,27919,Rear Eng Mount 2 24mm Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,7237,TLID 8 T4 135L Engine Mounts,27925,Rear Eng Mount 2 24mm Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,7237,TLID 8 T4 135L Engine Mounts,27926,Eng Mount to deck 2 18mm Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,7241,TLID 8 T2T3 9L Engine Mounts,27936,Eng Mount 4 18mm Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,7249,TLID8  T4 9L Front Eng Mount,31510,TLID8  T4 9L Front Engin Mount Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,8124,TLID8  T4 135L Frnt Eng Mnt,31511,TLID8  T4 135L Alternator Support Bracket
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,8124,TLID8  T4 135L Frnt Eng Mnt,31512,TLID8  T4 135L Front Engine Mount
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,15046,TLID 8  T2T3 Engine Mounts,31617,Mount Plate to Plate 3 18mm Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,15046,TLID 8  T2T3 Engine Mounts,31614,Eng Mount plates to deck 4 18mm Fasteners
2,D928  Engine Line,39,928040R  Prep & Mount Engine Sub,19635,TLID XXX  Vac Fan Pulley,96767,TLID XXX  Vac Fan Pulley
2,D928  Engine Line,61,928110R  Cooling Package,96,TLID 21  Cooling Pkge Torques,374,Cooling Package to Deck
2,D928  Engine Line,62,928200L  Exhaust,278,TLID 431  Goose Neck Hose,1061,90L Goose Neck Hose
2,D928  Engine Line,62,928200L  Exhaust,278,TLID 431  Goose Neck Hose,1194,135L Goose Neck Hose
2,D928  Engine Line,62,928200L  Exhaust,312,TLID 617T2T3 Exhaust Tube,1476,135L T2 Exhaust Tube Clamps
2,D928  Engine Line,62,928200L  Exhaust,312,TLID 617T2T3 Exhaust Tube,19951,T2T3 9L Exhaust Tube Clamps
2,D928  Engine Line,62,928200L  Exhaust,5136,TLID78  Exhaust to ATD 1,4139,FT4 Exhaust Tube Clamps Lower
2,D928  Engine Line,62,928200L  Exhaust,5136,TLID78  Exhaust to ATD 1,39299,FT4 Exhaust Tube Clamps Upper
2,D928  Engine Line,62,928200L  Exhaust,6141,TLID 1074  Air Inlet,52370,FT4 Tighten plastic tube to boot
2,D928  Engine Line,72,928060L  Gearcase,4879,TLID 201  Gearcase to Engine,19373,Gearcase to Engine
2,D928  Engine Line,72,928060L  Gearcase,8010,TLID 200 Assemb Foot hardware,31006,Test
2,D928  Engine Line,74,928021R  Engine Sub,7691,TLID1135  Turbo Clad Torque,29406,TLID1135  Turbo Clad Torque
2,D928  Engine Line,116,928080L  Hydro Pump Quill,9682,TLID 1068  Install Quill,38017,Install Quill
2,D928  Engine Line,137,928080R  Battery Cables Vac Fan,3915,TLID 55 Cooling Fan to Engine,2498,T2 Cooling fan to engine
2,D928  Engine Line,137,928080R  Battery Cables Vac Fan,3915,TLID 55 Cooling Fan to Engine,2497,FT4 Cooling fan to engine
2,D928  Engine Line,137,928080R  Battery Cables Vac Fan,6685,TLID 59  Vac Fan to Deck,26274,Vacuum Fan to Engine Deck 4 Fasteners
2,D928  Engine Line,137,928080R  Battery Cables Vac Fan,7961,TLID 55  9LT2 Cooling Fan,30683,T2 Cooling fan to engine
2,D928  Engine Line,468,928020R  Alternator Sub,13271,TLID154  Rear Trash Screen,38971,TLID154  T4 135L Rear Trash Screen
2,D928  Engine Line,468,928020R  Alternator Sub,13271,TLID154  Rear Trash Screen,38969,TLID154  T2T3 9 & 135L Pig Tail
2,D928  Engine Line,468,928020R  Alternator Sub,13271,TLID154  Rear Trash Screen,38975,TLID154  T4 9L Pig Tail
2,D928  Engine Line,468,928020R  Alternator Sub,13271,TLID154  Rear Trash Screen,38974,TLID154  T4 9L Rear Trash Screen
2,D928  Engine Line,468,928020R  Alternator Sub,13271,TLID154  Rear Trash Screen,38968,TLID154  T2T3 9 & 135L Rear Trash Screen
2,D928  Engine Line,468,928020R  Alternator Sub,13271,TLID154  Rear Trash Screen,38972,TLID154  T4 135L Pig Tail
2,D928  Engine Line,468,928020R  Alternator Sub,13273,TLID806  T4 135L Front,38970,TLID806  T4 135L Front Trash Screen
2,D928  Engine Line,468,928020R  Alternator Sub,13273,TLID806  T4 135L Front,38941,TLID806  T4 135L Pulley
2,D928  Engine Line,468,928020R  Alternator Sub,13278,TLID806  T2T3 Front,38944,TLID806  T2T3 9 & 135L Front Trash Screen
2,D928  Engine Line,468,928020R  Alternator Sub,13278,TLID806  T2T3 Front,39015,TLID806  T2T3 9 & 135L Pulley
2,D928  Engine Line,468,928020R  Alternator Sub,13282,TLID806  T4 9L Front,39014,TLID806  T4 9L Pulley
2,D928  Engine Line,468,928020R  Alternator Sub,13282,TLID806  T4 9L Front,38973,TLID806  T4 9L Front Trash Screen
2,D928  Engine Line,473,928170R  Top Cover To Deck,5268,TLID 1086  Retain Air Duct,52369,FT4 Tighten Air Duct Tubes
2,D928  Engine Line,473,928170R  Top Cover To Deck,12906,TLID 1086  Retail Air Duct 2,53392,TLID 1086  Retain Air Duct Second Clamp Air Clean
3,D925  Combine,29,925080L  LH Torque Final Drive,265,1090 Torque Final Drive,1004,Torque Final Drive
3,D925  Combine,30,925080RA  RH Torque Final Drive,267,1091  Torque Final Drive,1006,Torque Final Drive
3,D925  Combine,34,925190L  Discharge BeaterBosch Valve,18669,1536 Discharge Beater Pulley,82596,Discharge Beater Pulley 1HC
3,D925  Combine,34,925190L  Discharge BeaterBosch Valve,18669,1536 Discharge Beater Pulley,82597,Discharge Beater Pulley 2HC
3,D925  Combine,37,925040R  LC1 Harness,7689,3856  Vert ACI Cyl Bolts,29391,Torque 8 Vertical ACI Cylinder Bolts
3,D925  Combine,38,925160RA Jackshaft Tensioner,18925,DC 1357 Cab Step RHS,83786,RH Cab Step to body with 1 fastener
3,D925  Combine,38,925160RA Jackshaft Tensioner,18926,DC 1427 Cab Step LHS,83787,LH Cab Step to body with 1 fastener
3,D925  Combine,46,925140R  RH Engine install,149,3928  Engine Platform Torques,616,Torque RH Engine Platform to Body
3,D925  Combine,46,925140R  RH Engine install,6672,DC 74  Engine to Combine RH,35514,Engine to Combine 1 Fastener
3,D925  Combine,46,925140R  RH Engine install,6672,DC 74  Engine to Combine RH,35513,Engine to Combine 2 Fastners
3,D925  Combine,46,925140R  RH Engine install,6672,DC 74  Engine to Combine RH,26257,Engine to Combine RH 4 Fasteners
3,D925  Combine,46,925140R  RH Engine install,7369,DC 3928b RH Eng 4 Torque,28241,Engine Platform to Chassis with 4 fasteners
3,D925  Combine,66,925230LA Hose Torque,3736,3901 Attach Hose PreCleaner,54808,3901 Supply Tube to Air Flow Tube
3,D925  Combine,66,925230LA Hose Torque,6586,3680T4 Attach Debris Tubes,50857,Connect plastic tube to boot on ATD
3,D925  Combine,66,925230LA Hose Torque,6586,3680T4 Attach Debris Tubes,52371,Connect plastic tube to blower
3,D925  Combine,78,925260LA Rear Residue Hoses,10384,1660  CCH Steel Lines,40799,CCH Steel Lines
3,D925  Combine,78,925260LA Rear Residue Hoses,10384,1660  CCH Steel Lines,41593,Snug Bolts
3,D925  Combine,83,925090LA LH Sieve,2980,1788 Set Louvers on Sieve,12568,General Purpose
3,D925  Combine,83,925090LA LH Sieve,2980,1788 Set Louvers on Sieve,26339,MY18 General Purpose
3,D925  Combine,83,925090LA LH Sieve,2980,1788 Set Louvers on Sieve,26340,MY18Deep Tooth
3,D925  Combine,83,925090LA LH Sieve,2980,1788 Set Louvers on Sieve,12569,Deep Tooth
3,D925  Combine,111,925110R  RH Grain Tank,1552,1241a  Torque RH GT Part 1,5138,Torque Grain Tank
3,D925  Combine,111,925110R  RH Grain Tank,4792,1241b  Torque RH GT Part 2,19116,Torque Grain Tank
3,D925  Combine,111,925110R  RH Grain Tank,4793,1241c  Torque RH GT Part 3,19117,Torque Grain Tank
3,D925  Combine,112,925120LA  LH Cab install,6637,DC 1382  Cab Roof Bolts LH,26199,Cab Roof Bolts LH
3,D925  Combine,114,925130R  CGE install,15529,2084 TBP CGE Boot to Chassis,67356,TBP CGE Boot
3,D925  Combine,148,925180L Stack Valve,4013,3544 Stack Vlv to Combin,16787,3544 Stack Valve to Combine
3,D925  Combine,177,925270R RH Tire,17525,4522  Torque RH FH Bolt,76495,Right Hand Feederhouse Bolt Torque
3,D925  Combine,217,925760RSub Power Shaft Sub,6680,Powershaft Clutch End Nut,26266,Powershaft Clutch End 1 Locknut
3,D925  Combine,217,925760RSub Power Shaft Sub,6681,DC 3179  AFrame Locknut,26269,Powershaft Aframe 1 Locknut
3,D925  Combine,250,925260RA Rear,4015,3876  Rubber Tube,52374,IR Install Air Supply Tube
3,D925  Combine,250,925260RA Rear,6679,DC 2045  GT Cross Brace,26264,Grain Tank Cross Brace 4 Fasteners
3,D925  Combine,250,925260RA Rear,14989,DC 2045 Coyote  GT Cross Bra,65043,Grain Tank Cross Brace 4 Fasteners
3,D925  Combine,251,925110L LH Grain Tank,1549,1233 Torque Grain Tank Part1,5134,Torque Grain Tank
3,D925  Combine,251,925110L LH Grain Tank,4784,1233Torque Grain Tank Part 2,19101,Torque Grain Tank
3,D925  Combine,329,925021R  Sub Transmission Sub,2108,3831 PD Hydro Motor to Trans,7206,Torque 19M7844 Bolts
3,D925  Combine,329,925021R  Sub Transmission Sub,9061,Torque Verification,38987,Reverse off transducer2 FULL TURNS
3,D925  Combine,329,925021R  Sub Transmission Sub,9061,Torque Verification,33037,DC tranducer torque2
3,D925  Combine,329,925021R  Sub Transmission Sub,9087,26 5Speed Fitting,35517,Torque Large 5 Speed Fitting
3,D925  Combine,344,925140L  LH Engine install,2140,85  Torque Engine Platform,7484,Engine Platform Torques
3,D925  Combine,344,925140L  LH Engine install,2142,1440  Drive Shaft Bolts,7488,Torque Drive Shaft Bolts
3,D925  Combine,344,925140L  LH Engine install,6671,DC 85  Engine to Combine LH,35488,Torque Bolt Directly Behind Weld Nut
3,D925  Combine,344,925140L  LH Engine install,6671,DC 85  Engine to Combine LH,35489,Torque bolt that is facing up
3,D925  Combine,344,925140L  LH Engine install,6671,DC 85  Engine to Combine LH,28568,Engine bolt and nut fasteners
3,D925  Combine,344,925140L  LH Engine install,6671,DC 85  Engine to Combine LH,28539,Engine bolt into weld nut
3,D925  Combine,380,925250L Chopper Jackshaft,6677,DC 3608  Jackshaft Eyebolts,26262,Jackshaft Eye Bolts 2 Fasteners
3,D925  Combine,382,925151R  Sub Chaffer,2431,3946 Chaffer Setting  Driver,26930,Deep Tooth  Driver
3,D925  Combine,382,925151R  Sub Chaffer,2431,3946 Chaffer Setting  Driver,9112,General Purpose  Driver
3,D925  Combine,382,925151R  Sub Chaffer,2432,3946 Chaffer Setting  10mm,9113,General Purpose  10mm Setting
3,D925  Combine,382,925151R  Sub Chaffer,2432,3946 Chaffer Setting  10mm,27066,Deep Tooth  10mm Setting
3,D925  Combine,391,925200L Steel Lines,18709,3549P2 Hose Bundle to combine,82720,CCH tighten hose bundle bolts
3,D925  Combine,391,925200L Steel Lines,18709,3549P2 Hose Bundle to combine,82719,OCH hose bundle to combine
3,D925  Combine,480,925120R  RH Cab install,6638,DC 1380  Cab Roof Bolts RH,26201,Cab Roof Bolts RH
3,D925  Combine,480,925120R  RH Cab install,6670,DC 1250  Cab to Chassis Front,28112,Upper horizontal 4 Fasteners
3,D925  Combine,480,925120R  RH Cab install,6670,DC 1250  Cab to Chassis Front,26255,Vertical 8 Fasteners
3,D925  Combine,480,925120R  RH Cab install,6670,DC 1250  Cab to Chassis Front,30996,Cab Isolator Bolts 2
3,D925  Combine,480,925120R  RH Cab install,7184,1330  Inner Rear Cab Mount,27806,Torque Inner Rear Cab Mounts
3,D925  Combine,482,925180R  Belt Alignment,17522,4573  Spreader Rail,76491,Spreader Washer Strip and Rail
3,D925  Combine,482,925180R  Belt Alignment,17523,4569  RH Chopper Rail,76492,Torque Vertical Bolts 18mm
3,D925  Combine,482,925180R  Belt Alignment,17523,4569  RH Chopper Rail,76493,Torque Horizontal Bolts 15mm
3,D925  Combine,486,925240R,17559,4670 AIMCO 5 Torque,76585,Torque 5 Bolt on Loading Auger
3,D925  Combine,565,925100L  Driveshaft,8489,1441  Drive Shaft to Gearbox,33004,Torque Drive Shaft to Power Shaft
3,D925  Combine,565,925100L  Driveshaft,15527,1105 AHC valve to combine,67354,Tighten 1st two AHC valve bolts
3,D925  Combine,565,925100L  Driveshaft,15527,1105 AHC valve to combine,68411,Tighten 2nd two AHC bolts
3,D925  Combine,590,925260RB Front,7359,DC 2088 RH GT Brace,28205,Torque 3 24mm bolts on brace with DC Tool
3,D925  Combine,595,925100RB RethresherTailings 2,15528,3129 Lower Rethresher,67355,Lower Rethresher
